id;nse_numero;nse_descricao;nse_cnpj;nse_empresa;nse_datasaida;nse_valornota;nse_dataparcela;nse_valorparcela;tno_codigo;nse_parcela;parceiro_id
1;77941;Practical Fresh Chips application Producer;HTTP Chair architect;payment;2020-06-27T05:46:54;94619;2020-06-27T08:25:52;91498;43951;Bacon Tennessee Trinidad and Tobago Dollar;1
2;34997;Bedfordshire Borders Pike;cross-platform neural;next generation blue;2020-06-27T00:34:41;18569;2020-06-27T02:16:05;70067;32169;Rand Stand-alone Producer;2
3;87085;Granite EXE Solomon Islands Dollar;bypassing generate;Pizza;2020-06-27T07:16:49;16482;2020-06-27T08:48:11;13646;2622;pixel Infrastructure Pula;3
4;65502;synthesize Fantastic Cotton Tuna teal;Quality-focused Representative;District;2020-06-27T00:55:51;39281;2020-06-27T12:33:08;44769;84641;Crescent;4
5;53088;Samoa;auxiliary Illinois Borders;Legacy Avon Kuwaiti Dinar;2020-06-27T20:53:19;51199;2020-06-27T02:53:55;72466;14483;copying Borders;5
6;2036;enable;Supervisor Generic;proactive;2020-06-27T06:23:20;99246;2020-06-27T04:47:29;8714;26679;Customizable Incredible;6
7;21723;deposit;CFA Franc BCEAO Home Home Loan Account;teal override;2020-06-27T15:35:32;51443;2020-06-27T08:00:23;20994;45538;Vermont panel web-readiness;7
8;95635;copy Russian Ruble hack;array Fantastic Wooden Pizza;Louisiana;2020-06-27T19:40:57;26549;2020-06-27T01:35:39;53418;86303;networks payment overriding;8
9;48281;XSS Architect;Regional Markets feed;Small International neural;2020-06-27T09:36:11;63727;2020-06-27T12:32:27;70151;1076;Gorgeous Rubber Cheese metrics Ouguiya;9
10;99007;Unbranded;Dynamic;Interactions ADP well-modulated;2020-06-27T09:10:16;16382;2020-06-27T09:25:58;74922;17464;Plastic Mandatory;10
