id;ext_datalancamento;ext_historico;ext_numerodocumento;ext_numerocontrole;ext_debito;ext_credito;ext_descricao;parceiro_id;agenciabancaria_id
1;2020-06-27T15:58:04;Gorgeous Rubber Ball;transition Pizza function;New Zealand;85166;92871;Mauritius transmitter;1;1
2;2020-06-27T15:02:37;interface Agent;navigating payment Industrial;Burundi Franc Vietnam;8576;47155;Jewelery Buckinghamshire PCI;2;2
3;2020-06-27T10:53:32;e-commerce Sports;Corporate synthesizing;Licensed analyzer Fantastic;75800;82394;Rand Loti;3;3
4;2020-06-27T07:29:53;multi-state;Integration gold e-tailers;Gorgeous Fresh Bike;72540;12085;quantify global syndicate;4;4
5;2020-06-27T14:29:12;Arizona;Representative Branding artificial intelligence;withdrawal;91621;2979;Borders Infrastructure Metical;5;5
6;2020-06-26T23:31:23;Handcrafted;Idaho stable;New Hampshire;33240;76328;full-range indexing Junctions;6;6
7;2020-06-27T03:22:37;Mouse Team-oriented;Cambridgeshire firewall Creative;Greens;47396;56407;array Sausages;7;7
8;2020-06-27T15:09:24;connecting;Pizza Iraq District;clicks-and-mortar De-engineered Forward;5620;37633;tan Money Market Account;8;8
9;2020-06-26T23:53:18;Adaptive;Computers;generate encryption Future;98035;2541;Home parse;9;9
10;2020-06-26T22:03:52;Bike synthesizing;open-source;synergies;70109;50462;Agent e-business;10;10
