id;historico;historicofinal;datalancamento;associado;periodo;debito;credito;datainicio;datafim;cnpj;beneficiario;numerocontrole;numerodocumento
1;portals Bike;Licensed Rubber Table payment;2020-08-26T00:11:06;true;transparent syndicate;57766;43759;2020-08-26T16:39:42;2020-08-26T08:14:42;Zambia neural Tools;enable blue Granite;Technician;olive
2;Program Ville cross-platform;primary;2020-08-26T09:02:27;false;Games alarm;9656;84805;2020-08-26T06:27:46;2020-08-26T05:22:51;Fresh;Money Market Account;Outdoors Macedonia;Customer digital
3;next-generation Azerbaijan Cambridgeshire;Outdoors;2020-08-26T12:47:43;true;Assistant;7372;55610;2020-08-26T01:48:55;2020-08-26T13:05:45;invoice;Generic Rubber Towels;Buckinghamshire override;Baby
4;facilitate;facilitate eyeballs Tanzania;2020-08-26T15:46:09;false;Principal;58306;54195;2020-08-26T16:30:52;2020-08-25T21:14:53;Car;best-of-breed Circle Money Market Account;Division Malaysia;static Investment Account navigating
5;incentivize;Alley Home Loan Account;2020-08-26T13:42:47;true;digital sensor Administrator;87317;21665;2020-08-26T17:19:17;2020-08-26T06:11:27;Dynamic Horizontal;Investment Account;azure Gloves;Borders
6;backing up Orchestrator;ubiquitous benchmark Buckinghamshire;2020-08-26T08:38:30;true;interfaces Keyboard Glens;96887;69759;2020-08-26T13:09:23;2020-08-26T15:27:28;Applications synergize Delaware;Ergonomic value-added Stravenue;Investor Assurance;programming Borders
7;users Diverse;Cordoba Oro;2020-08-26T13:00:25;false;gold;58393;61524;2020-08-26T16:23:31;2020-08-26T09:32:42;Iowa generating;Berkshire;Security;middleware compressing leading-edge
8;Oregon;Automotive;2020-08-25T20:26:23;false;bluetooth;49500;3027;2020-08-26T10:02:49;2020-08-26T08:49:24;Communications;technologies;redundant bluetooth;Coves Concrete
9;RSS mint green Tasty Rubber Car;Gorgeous Plastic Keyboard encryption;2020-08-26T02:08:22;false;contextually-based haptic;48642;69420;2020-08-26T11:25:06;2020-08-25T22:29:41;turn-key Rustic Quality-focused;Games;Developer grey Sri Lanka;clicks-and-mortar Bulgarian Lev invoice
10;synthesizing Fantastic;Incredible Concrete Ball Kentucky Pike;2020-08-26T02:30:41;true;concept RSS Stream;43515;17007;2020-08-25T22:08:32;2020-08-26T06:27:35;Cotton content Business-focused;indexing Berkshire Security;Markets Clothing Soft;pixel exuding
