id;not_numero;not_descricao;not_cnpj;not_empresa;not_datasaida;not_valornota;not_dataparcela;not_valorparcela;tno_codigo;not_parcela;parceiro_id
1;33188;Clothing;mindshare;Developer parsing enterprise;2020-06-26T22:58:05;11844;2020-06-27T02:08:30;28795;13;New Zealand Auto Loan Account synthesizing;1
2;10725;Beauty Credit Card Account;Personal Loan Account Personal Loan Account Intelligent;copying e-tailers;2020-06-26T21:45:25;25799;2020-06-27T08:35:42;24002;55788;Steel;2
3;80067;frame multi-state;virtual Metrics;Handcrafted Fresh Chicken Hawaii;2020-06-27T00:47:48;15744;2020-06-27T04:22:47;89892;46056;Berkshire efficient SCSI;3
4;15970;Credit Card Account;Bike tertiary Implementation;Program;2020-06-27T07:44:23;95423;2020-06-27T02:56:21;97461;77136;Developer Customer copying;4
5;20036;Credit Card Account Generic Shoes;attitude;Fresh Specialist Rustic;2020-06-27T02:58:58;36175;2020-06-27T04:33:01;6581;258;copying;5
6;50339;reboot Wooden calculate;Pound Sterling Nebraska Cape;Cross-group;2020-06-27T12:50:32;91700;2020-06-27T19:26:07;20486;39418;circuit Metal implement;6
7;97093;CFA Franc BEAC Tajikistan capability;Clothing tan Architect;mesh;2020-06-27T00:32:58;2974;2020-06-27T18:31:15;29352;42761;transmitter Metal attitude-oriented;7
8;59654;zero tolerance matrix;Track teal;Personal Loan Account;2020-06-27T09:42:51;99565;2020-06-27T04:47:33;89638;52001;bypassing backing up;8
9;13555;XML;red Marketing Stand-alone;Unbranded;2020-06-27T01:01:28;72665;2020-06-27T00:50:37;89134;42418;infomediaries Steel;9
10;13590;Branding;Fish transmitting Fish;web-readiness Points transmitting;2020-06-27T09:29:13;23201;2020-06-27T01:11:28;27973;72306;Bike Electronics panel;10
