id;con_conta;con_classificacao;con_tipo;con_descricao;con_cnpj;con_grau
1;76287;cross-platform Fresh;Function-based Global;Savings Account out-of-the-box;Rubber Grocery productize;13722
2;33862;flexibility quantifying Buckinghamshire;Cotton payment Illinois;Investment Account Kyat;bus Jersey;28297
3;85065;New Caledonia;invoice Frozen mint green;Executive national;transparent;96725
4;37556;Plastic Philippines capacitor;Ball Fantastic;enterprise;Chair AGP;67335
5;27453;Awesome Home Loan Account Generic;Fresh;Tactics web-readiness synthesize;compressing;98416
6;62635;Granite metrics Robust;deploy transmitting ivory;District;feed Implementation CFA Franc BCEAO;3159
7;13778;Fresh;sensor web-readiness iterate;Cambridgeshire;Hat input;46218
8;74231;Berkshire integrate;Savings Account Bolivia;ADP Spain;Concrete;41253
9;71123;plug-and-play;invoice Checking Account Mobility;Alley;back up discrete;13535
10;78623;24/365 Ergonomic;Up-sized impactful Danish Krone;Cambridgeshire Berkshire Virgin Islands, British;Dynamic indigo;65627
