id;par_descricao;par_razaosocial;par_tipopessoa;par_cnpjcpf;par_rgie;par_obs;par_datacadastro;spa_codigo;logradouro;cep;cidade;estado;area_atuacao;comercio;nfc_e;danfe;servico;nfs_e;transportadora;conhec_transporte;industria;ct;outras
1;paradigm Shoes;Branding Multi-tiered;S;black wireless Summi;Licensed;Metal;2020-06-27T04:29:43;15128;Personal Loan Account Awesome Fresh Pants;Salad Bi;Bedfordshire Frozen;killer;Mandatory experiences;true;true;true;true;false;true;false;true;true;Principal transmit intermediate
2;24 hour;FTP;P;Circle GB;program Pizza Invest;invoice;2020-06-27T11:59:59;93006;Ergonomic compressing;JBOD;enable;violet Nevada;digital Creative Practical Frozen Shirt;true;true;true;true;false;false;true;true;false;Fresh Loop Loaf
3;Interactions Ball dot-com;facilitate innovative;S;quantify implement;Tactics channels;South Africa generate;2020-06-26T22:40:42;49447;B2C scale program;invoice ;Fantastic Frozen Chair Small Nevada;deposit;bandwidth-monitored Metal;true;false;true;true;true;false;true;false;true;expedite Liaison
4;Mill Interactions;Frozen bus;I;program schemas Micr;Architect Senior;Progressive;2020-06-27T05:39:02;77349;Bacon Human Naira;Sleek Co;invoice;index eyeballs;Strategist solid state Accountability;false;true;true;true;false;true;false;true;true;Cotton Engineer Investment Account
5;Wooden indigo microchip;Health incentivize;m;SQL red payment;Grenada Greece;ubiquitous;2020-06-26T22:28:05;33049;Barbados Dollar Cyprus Wooden;Martiniq;Technician Steel navigate;real-time Unbranded Soft Fish;dot-com;false;false;true;false;false;false;false;true;true;AGP
6;Investor Georgia;COM;d;Ergonomic;Creative;Chair Kids;2020-06-27T09:58:36;50440;Integration Unbranded paradigm;calculat;Grocery Directives;compress Shoes pixel;alarm hack parallelism;true;true;true;false;false;true;false;true;false;utilisation
7;deposit Russian Federation Senior;Djibouti Franc payment;C;initiatives;utilize Track morato;New Jersey Berkshire Russian Federation;2020-06-27T20:05:20;85670;Boliviano Mvdol Investment Account Accountability;Unbrande;Intranet Ranch;Practical Avon;Representative;true;true;false;false;true;false;true;false;true;red
8;Lead Kuwait Pants;Licensed;E;Idaho Associate;black payment;Texas;2020-06-27T10:51:57;34877;optical Faroe Islands;bandwidt;Savings Account Money Market Account Gorgeous;deposit input Beauty;Seychelles Shoes Applications;false;true;true;true;true;false;false;false;false;Chair deposit
9;frictionless;lavender parse impactful;H;National Cotton;Global maximize Guer;Industrial;2020-06-27T15:00:00;24763;Croatian Kuna Handcrafted Money Market Account;National;deposit generate;circuit;Buckinghamshire Home;false;true;false;false;false;true;true;false;true;payment Refined
10;Connecticut;logistical;p;RAM;Persistent Utah;multimedia Iraq;2020-06-27T14:06:10;65275;Down-sized Salad leverage;red;Heard Island and McDonald Islands compress;B2C Shirt;Ohio Sports Licensed;true;false;true;true;false;true;true;false;false;circuit
