id;razao;fantasia;telefones;datasource;cnpj;cidade;estado;cep;email
1;exploit;Response;Soft Unbranded Cotton Hat;Borders Turnpike e-business;Refined Wooden Hat;Gloves;feed engineer;mesh fresh-thinking sky blue;Terrill_Gulgowski30@hotmail.com
2;collaborative Investment Account;Inverse Auto Loan Account;Licensed Rubber Hat Metal;Factors programming pixel;Maryland;generate;Internal AI;back up synthesize;Magdalen.Runolfsdottir72@gmail.com
3;Central Washington synthesize;Officer Avon Personal Loan Account;Tunisian Dinar coherent;grid-enabled Ergonomic navigating;Cambridgeshire;Bedfordshire French Polynesia Agent;Producer;challenge Assurance non-volatile;Vallie8@yahoo.com
4;Forward Street intermediate;monitor Personal Loan Account;Street;Connecticut innovative HTTP;IB;connecting;Implemented Investor;Awesome Cotton Bacon;Frederik.Reilly45@gmail.com
5;Intelligent solid state implementation;Reverse-engineered digital;Bypass virtual Rustic Rubber Cheese;generating West Virginia;Rustic Plastic Soap;Jamaican Dollar Stand-alone;dynamic;Niue payment Communications;Aniyah5@gmail.com
6;Idaho bypass;EXE Accountability;Outdoors generating;vortals digital;Kids high-level Sleek;Berkshire Nakfa Mountains;supply-chains incubate International;communities;Tyree9@yahoo.com
7;Nevada white Universal;Intelligent Fresh Mouse overriding;Pants;Dobra Chips Nevada;Solutions Planner Research;interface calculating;Manager Oregon;Cotton EXE;Kailyn_Kiehn75@gmail.com
8;Mouse index;innovative;Associate array Ergonomic;sensor;panel Chips Soft;Wooden;enterprise;ivory;Margarett61@hotmail.com
9;Outdoors Cross-platform firmware;cross-platform;Hong Kong Dollar bandwidth West Virginia;Research knowledge user;Plastic orange Hat;Borders Yen virtual;Usability Dynamic Incredible Wooden Ball;Refined Concrete Towels aggregate;Christ27@yahoo.com
10;Sausages;mobile;SSL mindshare;Integrated;Total Sausages Wooden;Centralized plum Practical Concrete Keyboard;reboot hybrid Legacy;Small Frozen Sausages front-end THX;Dayton.Kling@gmail.com
