id;ban_descricao;ban_codigobancario;ban_sigla;ban_ispb
1;gold Run;35160;Administrator e-markets;45230
2;Toys Berkshire;4964;Seychelles Rupee Mobility input;55035
3;Savings Account Metrics Director;82583;Garden;77141
4;robust;25194;input Division Gorgeous;93424
5;Adaptive;56625;tangible bandwidth;99442
6;Sports;63068;alarm navigating;41330
7;Savings Account Investment Account;10058;Belize Dollar teal;64233
8;Chile transmitter deposit;39673;Isle of Man Investment Account Ergonomic;13067
9;experiences paradigm;22400;Investment Account program Borders;4265
10;Customizable Throughway;5895;Bedfordshire payment;63173
