id;par_codigo;reg_descricao;reg_conta;reg_historico;reg_todos
1;67645;1080p;78951;Customer Sports deposit;Macedonia redefine
2;92175;capacitor Isle of Man vortals;47380;Berkshire;UAE Dirham Credit Card Account
3;28452;Manat Kentucky;96418;neutral;Executive Cape Verde
4;25511;end-to-end Plains throughput;15864;Implementation Object-based blue;Regional
5;21629;Representative;39568;Intranet AI;Liaison Computers
6;53194;Unbranded Wooden Chicken;91774;payment Montana Chair;Fiji
7;43131;deposit Tala;64364;Human task-force;Chips
8;79838;calculate neural Buckinghamshire;72070;Principal Practical Steel Ball United States Minor Outlying Islands;Architect
9;31379;responsive Small User-friendly;89206;utilize AGP Nebraska;indexing
10;87795;Operations;21203;wireless Washington Infrastructure;Azerbaijanian Manat
