id;age_numero;age_digito;age_agencia;age_descricao;age_situacao;banco_id;parceiro_id
1;Producer;China payment Industrial;IB Object-based South Carolina;Fantastic Spring;false;1;1
2;Refined;Borders;Cotton connecting;compress firewall Computers;false;2;2
3;Car Tuna Tuna;solid state mission-critical;Cloned Bike Refined Frozen Table;Object-based;true;3;3
4;Internal hacking white;instruction set;Landing lavender;Compatible;false;4;4
5;Cameroon;service-desk;digital;Factors Cambridgeshire Wallis and Futuna;true;5;5
6;Moldovan Leu Licensed Granite Gloves Tools;reboot;Assistant Handmade Steel Mouse invoice;relationships e-business knowledge user;true;6;6
7;action-items open architecture Sleek Steel Bike;Future primary;firewall Profound Sausages;solid state primary Grenada;false;7;7
8;Configuration;Licensed Plastic Salad;copy experiences interfaces;Fresh withdrawal Architect;true;8;8
9;Distributed;withdrawal lime Granite;holistic Ball Gambia;Forint;true;9;9
10;Sleek Ergonomic;networks;Designer;microchip;false;10;10
