id;par_codigo;age_codigo;com_cnpj;com_beneficiario;com_documento;com_datavencimento;com_datapagamento;com_valordocumento;com_valorpagamento;com_observacao
1;73542;40553;Re-engineered Sports Music;Checking Account Assurance Planner;Practical;2020-06-26T21:12:40;2020-06-27T16:43:00;81461;7371;Armenian Dram
2;51471;46391;Tasty Wooden Soap Unbranded Congolese Franc;Directives granular;Towels Automotive;2020-06-27T09:34:52;2020-06-27T16:16:54;31813;86586;Handcrafted Intelligent
3;90021;10091;Garden;project;Bike foreground channels;2020-06-27T12:30:27;2020-06-27T07:28:42;91987;20572;deliver
4;25305;39902;Shoes Buckinghamshire content;Montana synergize;Intranet Division;2020-06-27T11:34:52;2020-06-27T07:32:53;84862;97861;Avon Wisconsin
5;25246;34081;dynamic Towels;Group adapter Credit Card Account;Cameroon;2020-06-27T19:32:46;2020-06-27T18:21:01;83822;13422;extend
6;42866;16368;programming dynamic Intelligent;Vermont optical Credit Card Account;granular redefine;2020-06-27T06:32:37;2020-06-26T22:01:47;79450;56278;Avon Cook Islands Regional
7;1459;73378;Operations Salad ubiquitous;Rest AI Avon;Beauty dynamic;2020-06-27T01:58:53;2020-06-27T00:38:08;10416;10382;transmitter
8;34333;76231;US Dollar;Buckinghamshire 24/7 Shoals;toolset Grocery;2020-06-27T02:36:35;2020-06-27T14:22:07;87326;35193;Customer Handmade
9;44702;14818;Investor pricing structure;Minnesota magnetic;Bacon;2020-06-26T20:57:23;2020-06-27T09:45:30;18432;33378;Rhode Island Tasty Rubber Cheese
10;15573;89128;yellow Villages;Peso Uruguayo Uruguay Peso en Unidades Indexadas Reactive Gorgeous Granite Soap;Garden Wooden Tasty Frozen Table;2020-06-27T08:50:11;2020-06-27T15:28:53;11310;90800;Keys indexing Romania
